datetime,open,high,low,close
2022-05-23T09:15:00+05:30,15830.95,15910.6,15809.4,15825.9
2022-05-23T09:20:00+05:30,15824.85,15873.95,15787.3,15865.85
2022-05-23T09:25:00+05:30,15866,15868.9,15812,15858.75
2022-05-23T09:30:00+05:30,15857.95,15868.9,15830.8,15838.4
2022-05-23T09:35:00+05:30,15835.9,15869.4,15821.1,15858.6
2022-05-23T09:40:00+05:30,15859.35,15901.2,15857,15889.9
2022-05-23T09:45:00+05:30,15889.55,15919.45,15882.5,15914.9
2022-05-23T09:50:00+05:30,15912.65,15932.55,15899.9,15929.6
2022-05-23T09:55:00+05:30,15928.6,15928.6,15890.75,15905.05
2022-05-23T10:00:00+05:30,15904.1,15923,15892.95,15909.8
2022-05-23T10:05:00+05:30,15910.3,15917.65,15909.25,15916.05
2022-05-23T10:10:00+05:30,15916.35,15942.35,15906,15939.8
2022-05-23T10:15:00+05:30,15939.35,15947.6,15921.85,15928
2022-05-23T10:20:00+05:30,15927.55,15928.15,15900.4,15901.95
2022-05-23T10:25:00+05:30,15902.55,15930.05,15901.4,15924.65
2022-05-23T10:30:00+05:30,15925.35,15928.5,15908.4,15915.05
2022-05-23T10:35:00+05:30,15914.5,15926.1,15901.35,15915.45
2022-05-23T10:40:00+05:30,15914.35,15924.9,15905.6,15915.65
2022-05-23T10:45:00+05:30,15915.55,15924.6,15910.85,15924.6
2022-05-23T10:50:00+05:30,15924.3,15935.55,15921.9,15930.3
2022-05-23T10:55:00+05:30,15930.55,15952.7,15927.95,15929.55
2022-05-23T11:00:00+05:30,15930.15,15938.9,15924.8,15933.5
2022-05-23T11:05:00+05:30,15933.85,15938.8,15930.35,15935.45
2022-05-23T11:10:00+05:30,15935.75,15951.9,15933.9,15943.5
2022-05-23T11:15:00+05:30,15943.85,15966.35,15942.5,15964.9
2022-05-23T11:20:00+05:30,15964.8,15978.9,15962.75,15978.25
2022-05-23T11:25:00+05:30,15977.4,15981.7,15970.7,15975.55
2022-05-23T11:30:00+05:30,15975.75,15988.25,15967.75,15978.6
2022-05-23T11:35:00+05:30,15978.9,15984.75,15975.2,15980.45
2022-05-23T11:40:00+05:30,15980.5,15993.95,15973.2,15975.9
2022-05-23T11:45:00+05:30,15977.05,15985.1,15964.5,15981.65
2022-05-23T11:50:00+05:30,15982.1,15989.95,15977.9,15989
2022-05-23T11:55:00+05:30,15989.1,15994.85,15985.95,15989.65
2022-05-23T12:00:00+05:30,15988.25,16002.3,15987.9,15994.7
2022-05-23T12:05:00+05:30,15994.55,15995.15,15980.8,15987.9
2022-05-23T12:10:00+05:30,15986.7,15992.55,15967.15,15992.35
2022-05-23T12:15:00+05:30,15992.65,16002.6,15979.4,15983.2
2022-05-23T12:20:00+05:30,15982.9,15998,15978.45,15995.55
2022-05-23T12:25:00+05:30,15995.75,16000.05,15988.55,15989.9
2022-05-23T12:30:00+05:30,15989.05,15990.6,15967.1,15974.45
2022-05-23T12:35:00+05:30,15974.25,15978.3,15941.55,15975.45
2022-05-23T12:40:00+05:30,15975.2,15980.05,15944.45,15946.2
2022-05-23T12:45:00+05:30,15946.05,15958.9,15936.5,15956.05
2022-05-23T12:50:00+05:30,15955.6,15969.15,15951.75,15963.35
2022-05-23T12:55:00+05:30,15963.5,15982.95,15962.9,15968.3
2022-05-23T13:00:00+05:30,15968,15983.5,15957.95,15974.95
2022-05-23T13:05:00+05:30,15975.65,15981.4,15968.75,15974.75
2022-05-23T13:10:00+05:30,15974.3,15979.2,15952.55,15954.4
2022-05-23T13:15:00+05:30,15954.75,15972.4,15952.9,15959.4
2022-05-23T13:20:00+05:30,15958.15,15973.65,15952.85,15970.15
2022-05-23T13:25:00+05:30,15970.55,16004.05,15969.5,15995.8
2022-05-23T13:30:00+05:30,15996.1,16017.3,15993.8,15994.25
2022-05-23T13:35:00+05:30,15995.1,16001.55,15983.25,15994.75
2022-05-23T13:40:00+05:30,15994.8,16003.2,15970,15973.15
2022-05-23T13:45:00+05:30,15974.4,15988.95,15961.45,15975.65
2022-05-23T13:50:00+05:30,15977.7,15981.5,15969.15,15973.95
2022-05-23T13:55:00+05:30,15974.4,15976.75,15923.8,15929.05
2022-05-23T14:00:00+05:30,15928.3,15929.95,15856.85,15858.45
2022-05-23T14:05:00+05:30,15853.25,15866.9,15824.95,15847.45
2022-05-23T14:10:00+05:30,15847.55,15873.55,15827.95,15829.25
2022-05-23T14:15:00+05:30,15823.1,15844.05,15812.7,15830.75
2022-05-23T14:20:00+05:30,15831.15,15847.4,15830.15,15836.1
2022-05-23T14:25:00+05:30,15836.8,15852.95,15827.1,15836
2022-05-23T14:30:00+05:30,15834.75,15838.6,15802.2,15808.15
2022-05-23T14:35:00+05:30,15808.2,15824.2,15804.75,15810.45
2022-05-23T14:40:00+05:30,15811.15,15845.45,15811.1,15824.8
2022-05-23T14:45:00+05:30,15826.85,15846.15,15814,15836.05
2022-05-23T14:50:00+05:30,15835.05,15840.35,15819.55,15840.35
2022-05-23T14:55:00+05:30,15839.25,15849.9,15825.15,15833.3
2022-05-23T15:00:00+05:30,15831.45,15843.35,15764.2,15772.45
2022-05-23T15:05:00+05:30,15771.7,15779.4,15761.1,15775.35
2022-05-23T15:10:00+05:30,15774.95,15776.9,15744.85,15748.4
2022-05-23T15:15:00+05:30,15747.5,15766.45,15747.5,15751.75
2022-05-23T15:20:00+05:30,15752,15754.9,15722.5,15723.4
2022-05-23T15:25:00+05:30,15722.25,15729.2,15702.8,15720.25
2022-05-24T09:15:00+05:30,15747.8,15809,15703.45,15791.65
2022-05-24T09:20:00+05:30,15793.55,15856.25,15789.15,15843.75
2022-05-24T09:25:00+05:30,15842.9,15847.6,15791.9,15795.55
2022-05-24T09:30:00+05:30,15795.45,15817.15,15759.8,15814.5
2022-05-24T09:35:00+05:30,15815.8,15817.35,15790.55,15790.85
2022-05-24T09:40:00+05:30,15790.75,15808.65,15775,15786.3
2022-05-24T09:45:00+05:30,15786.1,15796.9,15769.9,15774.9
2022-05-24T09:50:00+05:30,15778.8,15783.35,15768.35,15780.7
2022-05-24T09:55:00+05:30,15779.8,15797.7,15746.05,15746.25
2022-05-24T10:00:00+05:30,15744.65,15759,15731.9,15733
2022-05-24T10:05:00+05:30,15732,15758.7,15732,15743.4
2022-05-24T10:10:00+05:30,15743.75,15752.55,15740.05,15749.8
2022-05-24T10:15:00+05:30,15750.5,15750.9,15717.9,15718.25
2022-05-24T10:20:00+05:30,15716.9,15744.05,15713.6,15733.3
2022-05-24T10:25:00+05:30,15733,15750.35,15731.3,15744.65
2022-05-24T10:30:00+05:30,15744.75,15757.5,15740.6,15753.8
2022-05-24T10:35:00+05:30,15753.7,15800,15750.9,15789.1
2022-05-24T10:40:00+05:30,15789,15803.3,15777.65,15785.55
2022-05-24T10:45:00+05:30,15784.45,15787.55,15766.9,15786.25
2022-05-24T10:50:00+05:30,15785.8,15803.85,15779.2,15789.1
2022-05-24T10:55:00+05:30,15789.9,15798.95,15782.15,15790.95
2022-05-24T11:00:00+05:30,15791.05,15802.5,15778.15,15796.65
2022-05-24T11:05:00+05:30,15796.25,15808.75,15791.8,15795.9
2022-05-24T11:10:00+05:30,15795.7,15797.75,15773.75,15774.3
2022-05-24T11:15:00+05:30,15773.7,15775.8,15761.15,15768.35
2022-05-24T11:20:00+05:30,15769.2,15789.35,15767.55,15780
2022-05-24T11:25:00+05:30,15779.5,15786.4,15771,15776.15
2022-05-24T11:30:00+05:30,15776.9,15788.65,15767.75,15784.3
2022-05-24T11:35:00+05:30,15784.25,15819.55,15784.25,15807
2022-05-24T11:40:00+05:30,15807.75,15857.45,15807.75,15855.9
2022-05-24T11:45:00+05:30,15858.45,15886.9,15858.45,15868.25
2022-05-24T11:50:00+05:30,15869.05,15886.7,15858.05,15885.4
2022-05-24T11:55:00+05:30,15886.25,15893.75,15869.35,15870.15
2022-05-24T12:00:00+05:30,15869.05,15869.05,15839.95,15848
2022-05-24T12:05:00+05:30,15847.3,15852.15,15826.15,15832.25
2022-05-24T12:10:00+05:30,15833.6,15851.85,15819.6,15851.85
2022-05-24T12:15:00+05:30,15851.45,15865.4,15841,15859.25
2022-05-24T12:20:00+05:30,15859.75,15886.55,15858.6,15877.65
2022-05-24T12:25:00+05:30,15877.25,15880.4,15861.5,15861.5
